,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
7959,ADGRE3,ENSG00000131355.14,hsa:84658,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-2.6349,-4.043807901225889
7960,ADGRE3,ENSG00000131355.14,hsa:84658,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-2.6349,-4.043807901225889
7961,ADGRE2,ENSG00000127507.17,hsa:30817,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9507,0.3220424049454417
7962,ADGRE2,ENSG00000127507.17,hsa:30817,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.9507,0.3220424049454417
7963,ADGRE2,ENSG00000127507.17,hsa:30817,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,2.9507,0.3220424049454417
7964,ADGRE2,ENSG00000127507.17,hsa:30817,1002,Genes and Proteins,Protein families: metabolism,Peptidases,2.9507,0.3220424049454417
7965,OR7A5,ENSG00000188269.8,hsa:26659,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1665,-6.146534103402882
7966,OR7A5,ENSG00000188269.8,hsa:26659,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-0.1665,-6.146534103402882
7967,OR7C1,ENSG00000127530.2,hsa:26664,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-6.681114312790637
7968,OR7C1,ENSG00000127530.2,hsa:26664,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-2.3884,-6.681114312790637
7969,SLC1A6,ENSG00000105143.12,hsa:6511,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7763,-5.668564241475511
7970,SLC1A6,ENSG00000105143.12,hsa:6511,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.7763,-5.668564241475511
7971,SYDE1,ENSG00000105137.12,hsa:85360,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1036,2.4261844138948225
7972,SYDE1,ENSG00000105137.12,hsa:85360,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.1036,2.4261844138948225
7973,NOTCH3,ENSG00000074181.8,hsa:4854,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.597,4.163806345425008
7974,EPHX3,ENSG00000105131.7,hsa:79852,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5522,-0.0476573600101533
7975,EPHX3,ENSG00000105131.7,hsa:79852,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.5522,-0.0476573600101533
7976,EPHX3,ENSG00000105131.7,hsa:79852,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-1.5522,-0.0476573600101533
7977,RASAL3,ENSG00000105122.12,hsa:64926,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5137,1.6163316726940515
7978,PGLYRP2,ENSG00000161031.12,hsa:114770,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.6112453415199575
7979,CYP4F22,ENSG00000171954.12,hsa:126410,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-3.1875099330189642
7980,CYP4F22,ENSG00000171954.12,hsa:126410,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,-9.9658,-3.1875099330189642
7981,CYP4F3,ENSG00000186529.14,hsa:4051,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2671,-1.4168084687030975
7982,CYP4F3,ENSG00000186529.14,hsa:4051,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.2671,-1.4168084687030975
7983,CYP4F3,ENSG00000186529.14,hsa:4051,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,-0.2671,-1.4168084687030975
7984,CYP4F12,ENSG00000186204.14,hsa:66002,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1117,-0.3434288199809009
7985,CYP4F12,ENSG00000186204.14,hsa:66002,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.1117,-0.3434288199809009
7986,CYP4F12,ENSG00000186204.14,hsa:66002,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,1.1117,-0.3434288199809009
7987,CYP4F2,ENSG00000186115.12,hsa:8529,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.6193,-4.4660019871526595
7988,CYP4F2,ENSG00000186115.12,hsa:8529,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.6193,-4.4660019871526595
7989,CYP4F2,ENSG00000186115.12,hsa:8529,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,-0.6193,-4.4660019871526595
7990,CYP4F11,ENSG00000171903.16,hsa:57834,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0946,0.03527877805209672
7991,CYP4F11,ENSG00000171903.16,hsa:57834,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.0946,0.03527877805209672
7992,CYP4F11,ENSG00000171903.16,hsa:57834,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,2.0946,0.03527877805209672
7993,TPM4,ENSG00000167460.14,hsa:7171,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.7826,7.56980684160242
7994,TPM4,ENSG00000167460.14,hsa:7171,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,7.7826,7.56980684160242
7995,KLF2,ENSG00000127528.5,hsa:10365,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6255,3.3386076583045314
7996,KLF2,ENSG00000127528.5,hsa:10365,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.6255,3.3386076583045314
7997,CALR3,ENSG00000269058.5,hsa:125972,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.8094412779476015
7998,CALR3,ENSG00000269058.5,hsa:125972,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,-9.9658,-5.8094412779476015
7999,F2RL3,ENSG00000127533.3,hsa:9002,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2642,-0.14581360849628028
8000,F2RL3,ENSG00000127533.3,hsa:9002,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.2642,-0.14581360849628028
8001,HAUS8,ENSG00000131351.14,hsa:93323,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.561,2.9862214305809642
8002,HAUS8,ENSG00000131351.14,hsa:93323,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.561,2.9862214305809642
8003,USHBP1,ENSG00000130307.11,hsa:83878,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.0574,-0.011232420924867573
8004,USHBP1,ENSG00000130307.11,hsa:83878,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-0.0574,-0.011232420924867573
8005,ANKLE1,ENSG00000160117.14,hsa:126549,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.1779,-1.7570095548297897
8006,ANKLE1,ENSG00000160117.14,hsa:126549,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,-2.1779,-1.7570095548297897
8007,ABHD8,ENSG00000127220.5,hsa:79575,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1859,3.0896683666966314
8008,ABHD8,ENSG00000127220.5,hsa:79575,1002,Genes and Proteins,Protein families: metabolism,Peptidases,4.1859,3.0896683666966314
8009,ANO8,ENSG00000074855.10,hsa:57719,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.47,1.8252292728800936
8010,ANO8,ENSG00000074855.10,hsa:57719,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,4.47,1.8252292728800936
8011,PLVAP,ENSG00000130300.8,hsa:83483,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0834,5.171377103775485
8012,PLVAP,ENSG00000130300.8,hsa:83483,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.0834,5.171377103775485
8013,BST2,ENSG00000130303.12,hsa:684,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2854,6.690364221697225
8014,BST2,ENSG00000130303.12,hsa:684,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,5.2854,6.690364221697225
8015,SLC27A1,ENSG00000130304.16,hsa:376497,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2025,3.4135141781065577
8016,SLC27A1,ENSG00000130304.16,hsa:376497,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.2025,3.4135141781065577
8017,SLC27A1,ENSG00000130304.16,hsa:376497,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.2025,3.4135141781065577
8018,SLC27A1,ENSG00000130304.16,hsa:376497,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,4.2025,3.4135141781065577
8019,COLGALT1,ENSG00000130309.10,hsa:79709,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.4067,5.165683920268048
8020,COLGALT1,ENSG00000130309.10,hsa:79709,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.4067,5.165683920268048
8021,COLGALT1,ENSG00000130309.10,hsa:79709,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,5.4067,5.165683920268048
8022,UNC13A,ENSG00000130477.14,hsa:23025,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8242,-2.889403212371131
8023,UNC13A,ENSG00000130477.14,hsa:23025,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.8242,-2.889403212371131
8024,FCHO1,ENSG00000130475.14,hsa:23149,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8014,1.5810599549744306
8025,FCHO1,ENSG00000130475.14,hsa:23149,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.8014,1.5810599549744306
8026,B3GNT3,ENSG00000179913.10,hsa:10331,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.9324,0.6189823478458122
8027,B3GNT3,ENSG00000179913.10,hsa:10331,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.9324,0.6189823478458122
8028,B3GNT3,ENSG00000179913.10,hsa:10331,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-2.9324,0.6189823478458122
8029,INSL3,ENSG00000248099.3,hsa:3640,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.1779,-2.3010079064904043
8030,JAK3,ENSG00000105639.18,hsa:3718,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3135,1.558750808786786
8031,JAK3,ENSG00000105639.18,hsa:3718,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.3135,1.558750808786786
8032,JAK3,ENSG00000105639.18,hsa:3718,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.3135,1.558750808786786
8033,SLC5A5,ENSG00000105641.3,hsa:6528,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-6.5064,-4.410565691090426
8034,SLC5A5,ENSG00000105641.3,hsa:6528,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-6.5064,-4.410565691090426
8035,KCNN1,ENSG00000105642.15,hsa:3780,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5363,-2.3274773260238093
8036,KCNN1,ENSG00000105642.15,hsa:3780,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,2.5363,-2.3274773260238093
8037,IL12RB1,ENSG00000096996.15,hsa:3594,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.614,0.39957300681745944
8038,IL12RB1,ENSG00000096996.15,hsa:3594,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,1.614,0.39957300681745944
8039,IL12RB1,ENSG00000096996.15,hsa:3594,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,1.614,0.39957300681745944
8040,IFI30,ENSG00000216490.3,hsa:10437,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.3202,7.097175526276581
8041,RAB3A,ENSG00000105649.9,hsa:5864,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6866,1.8667558925410601
8042,RAB3A,ENSG00000105649.9,hsa:5864,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.6866,1.8667558925410601
8043,RAB3A,ENSG00000105649.9,hsa:5864,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,4.6866,1.8667558925410601
8044,RAB3A,ENSG00000105649.9,hsa:5864,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,4.6866,1.8667558925410601
8045,PDE4C,ENSG00000105650.21,hsa:5143,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.2142,0.09109099109455703
8046,PDE4C,ENSG00000105650.21,hsa:5143,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.2142,0.09109099109455703
8047,PGPEP1,ENSG00000130517.13,hsa:54858,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9765,3.365555419423298
8048,PGPEP1,ENSG00000130517.13,hsa:54858,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.9765,3.365555419423298
8049,PGPEP1,ENSG00000130517.13,hsa:54858,1002,Genes and Proteins,Protein families: metabolism,Peptidases,3.9765,3.365555419423298
8050,GDF15,ENSG00000130513.6,hsa:9518,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6693,4.62916291614271
8051,GDF15,ENSG00000130513.6,hsa:9518,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,2.6693,4.62916291614271
8052,ISYNA1,ENSG00000105655.18,hsa:51477,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5009,5.065229389736391
8053,ISYNA1,ENSG00000105655.18,hsa:51477,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.5009,5.065229389736391
8054,CRTC1,ENSG00000105662.15,hsa:23373,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6793,2.8669454863051937
8055,CRTC1,ENSG00000105662.15,hsa:23373,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,3.6793,2.8669454863051937
8056,COMP,ENSG00000105664.10,hsa:1311,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.8314,0.2968365952189616
8057,COMP,ENSG00000105664.10,hsa:1311,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-1.8314,0.2968365952189616
8058,COMP,ENSG00000105664.10,hsa:1311,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-1.8314,0.2968365952189616
8059,COMP,ENSG00000105664.10,hsa:1311,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,-1.8314,0.2968365952189616
8060,GDF1,ENSG00000130283.8,hsa:2657,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.1548,-3.7981697625270883
8061,GDF1,ENSG00000130283.8,hsa:2657,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,6.1548,-3.7981697625270883
8062,GDF1,ENSG00000130283.8,hsa:2657,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,6.1548,-3.7981697625270883
8063,CERS1,ENSG00000223802.7,hsa:10715,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.313,-0.08253880722539553
8064,CERS1,ENSG00000223802.7,hsa:10715,1000,Genes and Proteins,Protein families: metabolism,Enzymes,8.313,-0.08253880722539553
8065,HOMER3,ENSG00000051128.18,hsa:9454,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.6733,4.840019030479827
8066,SLC25A42,ENSG00000181035.13,hsa:284439,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1669,2.746862897274556
8067,SLC25A42,ENSG00000181035.13,hsa:284439,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.1669,2.746862897274556
8068,MEF2B,ENSG00000213999.15,hsa:100271849,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.3383,-0.4057136555583875
8069,MEF2B,ENSG00000213999.15,hsa:100271849,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.3383,-0.4057136555583875
8070,NCAN,ENSG00000130287.13,hsa:1463,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.3108,-5.4785998767753314
8071,NCAN,ENSG00000130287.13,hsa:1463,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,7.3108,-5.4785998767753314
8072,NCAN,ENSG00000130287.13,hsa:1463,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,7.3108,-5.4785998767753314
8073,NCAN,ENSG00000130287.13,hsa:1463,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,7.3108,-5.4785998767753314
8074,HAPLN4,ENSG00000187664.8,hsa:404037,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9226,-3.5089591249062955
8075,HAPLN4,ENSG00000187664.8,hsa:404037,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,1.9226,-3.5089591249062955
8076,TSSK6,ENSG00000178093.13,hsa:83983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4447,0.1649795997392909
8077,TSSK6,ENSG00000178093.13,hsa:83983,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.4447,0.1649795997392909
8078,TSSK6,ENSG00000178093.13,hsa:83983,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.4447,0.1649795997392909
8079,TSSK6,ENSG00000178093.13,hsa:83983,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,0.4447,0.1649795997392909
8080,PBX4,ENSG00000105717.13,hsa:80714,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4125,0.9135563724631579
8081,PBX4,ENSG00000105717.13,hsa:80714,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.4125,0.9135563724631579
8082,LPAR2,ENSG00000064547.13,hsa:9170,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0859,3.5336458326402393
8083,LPAR2,ENSG00000064547.13,hsa:9170,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,3.0859,3.5336458326402393
8084,ZNF506,ENSG00000081665.13,hsa:440515,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2766,2.4273735588970466
8085,ZNF506,ENSG00000081665.13,hsa:440515,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.2766,2.4273735588970466
8086,ZNF253,ENSG00000256771.2,hsa:56242,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4359,1.6716313148951807
8087,ZNF253,ENSG00000256771.2,hsa:56242,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.4359,1.6716313148951807
8088,ZNF93,ENSG00000184635.13,hsa:81931,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8604,1.3470872721495786
8089,ZNF93,ENSG00000184635.13,hsa:81931,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.8604,1.3470872721495786
8090,ZNF682,ENSG00000197124.11,hsa:91120,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8078,0.9011697409576708
8091,ZNF682,ENSG00000197124.11,hsa:91120,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.8078,0.9011697409576708
8092,ZNF90,ENSG00000213988.9,hsa:7643,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3051,0.47146535333615974
8093,ZNF90,ENSG00000213988.9,hsa:7643,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.3051,0.47146535333615974
8094,ZNF486,ENSG00000256229.7,hsa:90649,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.5115,0.8435573676643405
8095,ZNF486,ENSG00000256229.7,hsa:90649,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.5115,0.8435573676643405
8096,ZNF737,ENSG00000237440.8,hsa:100129842,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3926,1.2747540244557
8097,ZNF737,ENSG00000237440.8,hsa:100129842,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.3926,1.2747540244557
8098,ZNF85,ENSG00000105750.14,hsa:7639,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.233,1.4643950184110988
8099,ZNF85,ENSG00000105750.14,hsa:7639,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.233,1.4643950184110988
8100,ZNF430,ENSG00000118620.12,hsa:80264,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.5465,1.4081821396476457
8101,ZNF430,ENSG00000118620.12,hsa:80264,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.5465,1.4081821396476457
8102,ZNF714,ENSG00000160352.15,hsa:148206,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8524,1.1175715350786697
8103,ZNF714,ENSG00000160352.15,hsa:148206,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.8524,1.1175715350786697
8104,ZNF708,ENSG00000182141.9,hsa:7562,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6487,1.1167601061406085
8105,ZNF708,ENSG00000182141.9,hsa:7562,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.6487,1.1167601061406085
8106,ZNF429,ENSG00000197013.9,hsa:353088,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2358,2.1301097090467507
8107,ZNF429,ENSG00000197013.9,hsa:353088,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.2358,2.1301097090467507
8108,ZNF100,ENSG00000197020.10,hsa:163227,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3871,0.8466867268529129
8109,ZNF100,ENSG00000197020.10,hsa:163227,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.3871,0.8466867268529129
8110,ZNF43,ENSG00000198521.11,hsa:7594,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8602,1.4923270415840124
8111,ZNF43,ENSG00000198521.11,hsa:7594,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.8602,1.4923270415840124
8112,ZNF208,ENSG00000160321.14,hsa:7757,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.7108,-1.4871647137916293
8113,ZNF208,ENSG00000160321.14,hsa:7757,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.7108,-1.4871647137916293
8114,ZNF257,ENSG00000197134.11,hsa:113835,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.346,-1.5495188843665044
8115,ZNF257,ENSG00000197134.11,hsa:113835,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.346,-1.5495188843665044
8116,ZNF676,ENSG00000196109.6,hsa:163223,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.7274,-4.503623407129491
8117,ZNF676,ENSG00000196109.6,hsa:163223,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-2.7274,-4.503623407129491
8118,ZNF98,ENSG00000197360.9,hsa:148198,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4761,-4.538261469255898
8119,ZNF98,ENSG00000197360.9,hsa:148198,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.4761,-4.538261469255898
8120,ZNF492,ENSG00000229676.2,hsa:57615,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1488,-4.583050718889127
8121,ZNF492,ENSG00000229676.2,hsa:57615,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.1488,-4.583050718889127
8122,ZNF99,ENSG00000213973.8,hsa:7652,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.9942,-7.047722935590444
8123,ZNF99,ENSG00000213973.8,hsa:7652,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.9942,-7.047722935590444
8124,ZNF730,ENSG00000183850.13,hsa:100129543,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7832,-3.6825425071938693
8125,ZNF730,ENSG00000183850.13,hsa:100129543,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.7832,-3.6825425071938693
8126,ZNF91,ENSG00000167232.13,hsa:7644,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6301,2.898552972194233
8127,ZNF91,ENSG00000167232.13,hsa:7644,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.6301,2.898552972194233
8128,ZNF675,ENSG00000197372.9,hsa:171392,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6325,1.6734870218403284
8129,ZNF675,ENSG00000197372.9,hsa:171392,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.6325,1.6734870218403284
8130,ZNF726,ENSG00000213967.10,hsa:730087,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3704,-0.06501881720802272
8131,ZNF726,ENSG00000213967.10,hsa:730087,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.3704,-0.06501881720802272
8132,ZNF254,ENSG00000213096.9,hsa:9534,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9469,1.9871856824697691
8133,ZNF254,ENSG00000213096.9,hsa:9534,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.9469,1.9871856824697691
8134,CCNE1,ENSG00000105173.13,hsa:898,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9188,2.1539060316130314
8135,CCNE1,ENSG00000105173.13,hsa:898,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,1.9188,2.1539060316130314
8136,CCNE1,ENSG00000105173.13,hsa:898,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,1.9188,2.1539060316130314
8137,TSHZ3,ENSG00000121297.6,hsa:57616,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.791,0.8881228130228157
8138,TSHZ3,ENSG00000121297.6,hsa:57616,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.791,0.8881228130228157
8139,TDRD12,ENSG00000173809.15,hsa:91646,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.1779,-3.6585310502947275
8140,TDRD12,ENSG00000173809.15,hsa:91646,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.1779,-3.6585310502947275
8141,TDRD12,ENSG00000173809.15,hsa:91646,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.1779,-3.6585310502947275
8142,SLC7A9,ENSG00000021488.12,hsa:11136,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1811,-1.6153447292614012
8143,SLC7A9,ENSG00000021488.12,hsa:11136,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-1.1811,-1.6153447292614012
8144,FAAP24,ENSG00000131944.9,hsa:91442,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3051,1.3914124890215198
8145,FAAP24,ENSG00000131944.9,hsa:91442,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,1.3051,1.3914124890215198
8146,LRP3,ENSG00000130881.13,hsa:4037,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3027,3.546145367599535
